Resonance 	 Frac_Goofit 	 Frac_Laura 	 Amp_Goofit 	 Amp_Laura 	 Phs_Goofit 	 Phs_Laura
rho770		 57.610300		 55.755400		 1.000000		 1.000000	 0.000000		 0.000000
omega		 0.781491		 10.547800		 0.026479		 0.434948	 -2.739660		 -2.965540
rho1450		 0.513159		 0.080363		 2.538340		 0.037965	 0.073538		 0.421354
f2_1270		 0.825113		 1.002300		 1.190460		 0.134077	 2.750640		 0.334747
f2_1525		 0.491954		 0.216169		 4.626780		 0.062266	 0.097133		 -1.232350
f0_1370		 5.026900		 1.447660		 1.100950		 0.161135	 1.206420		 -1.237100
f0_1500		 2.384240		 5.385150		 1.416050		 0.310782	 -1.865560		 -0.153962
sigma		 3.507000		 17.533400		 0.509728		 0.560776	 -0.508043		 -0.012814
f0_980		 3.444920		 2.237200		 0.758841		 0.200313	 -0.655084		 2.071940
Ks892		 41.875300		 37.050800		 0.783116		 0.815183	 0.337625		 -2.893430
Ks0_1430		 4.437680		 2.836700		 0.999539		 0.225560	 -1.271120		 2.039660
Ks1410		 4.085010		 1.395420		 1.270290		 0.158201	 -5.429410		 2.874720
Kappa		 1.988280		 0.320229		 0.670431		 0.075786	 9.148900		 -2.934260
