Resonance 	 Frac_Goofit 	 Frac_Laura 	 Amp_Goofit 	 Amp_Laura 	 Phs_Goofit 	 Phs_Laura
rho770		 49.753100		 60.864300		 1.000000		 1.000000	 0.000000		 0.000000
omega		 0.146933		 11.366500		 0.012355		 0.432147	 -2.905400		 -3.011850
f0_1370		 3.067120		 0.761238		 0.925385		 0.111835	 1.846640		 -0.331114
f0_1500		 0.000000		 3.798230		 0.000000		 0.249810	 0.342648		 -0.154170
sigma		 1.496290		 2.552020		 0.358277		 0.204767	 0.173902		 2.090510
f0_980		 2.094930		 3.180690		 0.636776		 0.228602	 -1.025200		 2.060200
Ks892		 41.856500		 39.386100		 0.842497		 0.804434	 0.494164		 -2.587890
Ks0_1430		 6.194310		 7.802930		 1.270750		 0.358053	 -0.953707		 2.253120
Ks1410		 2.458940		 1.437820		 1.060520		 0.153699	 -3.427970		 -0.374867
