  9.8045      0.34922        147.47
  10.026      0.34022        148.40
  10.241      0.33211        149.30
  10.449      0.32422        150.08
  10.648      0.31727        150.83
  10.838      0.31054        151.47
  11.016      0.30476        152.10
  11.182      0.29918        152.60
  11.335      0.29454        153.11
  11.474      0.29007        153.49
  11.598      0.28654        153.89
  11.706      0.28314        154.16
  11.798      0.28069        154.46
  11.874      0.27832        154.62
  11.932      0.27693        154.83
  11.972      0.27552        154.87
  11.995      0.27537        155.03
  12.010      0.27433        155.00
  12.055      0.27352        155.13
  12.136      0.27103        155.33
  12.255      0.26810        155.64
  12.412      0.26377        156.02
  12.610      0.25896        156.50
  12.851      0.25286        157.04
  13.138      0.24635        157.68
  13.476      0.23866        158.35
  13.868      0.23066        159.12
  14.321      0.22162        159.91
  14.840      0.21241        160.77
  15.435      0.20230        161.64
  16.115      0.19219        162.58
  16.892      0.18136        163.50
  17.779      0.17070        164.48
  18.795      0.15948        165.43
  19.960      0.14862        166.42
  21.301      0.13737        167.37
  22.850      0.12664        168.35
  24.648      0.11567        169.27
  26.747      0.10538        170.22
  29.211      0.94971E-01    171.09
  32.126      0.85374E-01    171.99
  35.603      0.75761E-01    172.80
  39.789      0.67061E-01    173.63
  44.883      0.58420E-01    174.36
  51.159      0.50767E-01    175.11
  58.998      0.43224E-01    175.75
  68.944      0.36717E-01    176.41
  81.797      0.30349E-01    176.95
  98.752      0.25046E-01    177.52
  121.65      0.19893E-01    177.96
  153.42      0.15812E-01    178.41
  198.80      0.11881E-01    178.74
  265.54      0.90187E-02    179.09
  365.98      0.62970E-02    179.31
  516.49      0.46318E-02    179.54
  723.71      0.30953E-02    179.64
  932.36      0.26047E-02    179.75
