Resonance 	 Frac_Goofit 	 Frac_Laura 	 Amp_Goofit 	 Amp_Laura 	 Phs_Goofit 	 Phs_Laura
rho770		 52.167600		 44.440100		 1.000000		 1.000000	 0.000000		 0.000000
omega		 0.097695		 0.179987		 0.009838		 0.063640	 -1.437710		 -1.353370
rho1450		 0.444083		 0.462299		 2.481460		 0.101994	 -1.648070		 0.795835
f2_1525		 0.103341		 0.022869		 2.228450		 0.022685	 2.364010		 0.414462
f0_1370		 3.155610		 2.662660		 0.916660		 0.244777	 1.372100		 -1.164400
f0_1500		 5.045850		 4.557860		 2.164820		 0.320253	 -1.993340		 -0.190499
sigma		 3.729310		 16.820600		 0.552376		 0.615224	 -0.617037		 -0.064080
f0_980		 4.302470		 1.962050		 0.891189		 0.210120	 -0.650413		 2.241330
Ks892		 45.093000		 38.798800		 0.853987		 0.934376	 0.391389		 -2.931480
Ks0_1430		 5.581230		 3.989600		 1.177980		 0.299624	 -1.312920		 2.066220
Ks1410		 3.379000		 2.005530		 1.214080		 0.212435	 -5.335120		 2.764860
