Resonance 	 Frac_Goofit 	 Frac_Laura 	 Amp_Goofit 	 Amp_Laura 	 Phs_Goofit 	 Phs_Laura
rho770		 50.675300		 60.673500		 1.000000		 1.000000	 0.000000		 0.000000
omega		 0.152540		 11.206100		 0.012473		 0.429763	 -2.675550		 -3.011470
f2_1525		 0.409298		 0.334165		 4.499750		 0.074213	 1.930000		 -1.233290
f0_1370		 0.545951		 0.746623		 0.386853		 0.110931	 8.344670		 -0.342212
f0_1500		 1.603530		 3.805110		 1.238210		 0.250429	 -2.981710		 -0.167431
sigma		 2.642980		 2.560470		 0.471813		 0.205428	 -0.261159		 2.080920
f0_980		 2.441160		 3.130880		 0.681100		 0.227161	 -38.659500		 2.049740
Ks892		 38.972000		 38.943600		 0.805518		 0.801159	 0.594736		 -2.579270
Ks0_1430		 7.441130		 7.793320		 1.380040		 0.358395	 -0.981138		 2.244190
Ks1410		 1.843090		 1.427280		 0.909767		 0.153375	 -3.548010		 -0.385913
