Resonance 	 Frac_Goofit 	 Frac_Laura 	 Amp_Goofit 	 Amp_Laura 	 Phs_Goofit 	 Phs_Laura
rho770		 50.911200		 43.704300		 1.000000		 1.000000	 0.000000		 0.000000
omega		 0.096491		 0.177218		 0.009898		 0.063678	 -1.404730		 -1.341300
rho1450		 0.246779		 0.244995		 1.872500		 0.074872	 -2.173490		 -5.134180
f2_1270		 0.744130		 1.007090		 1.202610		 0.151800	 3.167600		 0.502168
f2_1525		 0.142778		 0.527532		 2.651490		 0.109866	 1.714740		 -1.054700
f0_1370		 5.124070		 1.701360		 1.182410		 0.197304	 1.276840		 -1.289160
f0_1500		 7.026150		 5.453130		 2.585870		 0.353233	 -1.755940		 -0.069904
sigma		 3.110270		 16.537800		 0.510639		 0.615144	 -0.402343		 -0.018606
f0_980		 3.284690		 2.014790		 0.788228		 0.214710	 -0.659492		 2.205870
Ks892		 46.248900		 37.947900		 0.875469		 0.931820	 0.377825		 -2.900550
Ks0_1430		 5.567620		 3.014370		 1.190970		 0.262625	 -1.181120		 2.145710
Ks1410		 3.207640		 1.563140		 1.197400		 0.189120	 -5.194700		 2.871280
