Res_1	0.719751	0.0627568	-89.2087	0.0812398
Res_2	5.22385	0.136079	-23.6997	0.649796
Res_3	3.66447	0.0396331	66.2028	0.837106
Res_4	4.0425	0.307167	24.9729	1.89501
Res_5	1.67194	0.0549311	72.142	1.38469
Res_6	3.24177	0.0754505	-71.5962	0.879827
Res_7	0.532411	0.0183178	-28.8989	2.4141
Res_8	1.05953	0.0237569	-49.2436	1.01809
Res_9	0.968268	0.00418427	31.0592	0.461264
Res_10	2.8977	0.0942399	90	3.8068e-05
Res_11	1.74012	0.0167711	-32.3778	0.431867
Res_12	3.86031	0.0305975	-78.0173	0.318875
Res_13	11.0416	0.0874645	90	6.15412e-05
