Resonance 	 Frac_Goofit 	 Frac_Laura 	 Amp_Goofit 	 Amp_Laura 	 Phs_Goofit 	 Phs_Laura
rho770		 50.833700		 50.906800		 1.000000		 1.000000	 0.000000		 0.000000
omega		 0.090012		 0.096514		 0.009567		 0.043542	 -0.719680		 -0.731628
f0_1370		 0.970741		 0.671406		 0.515043		 0.114843	 1.767260		 -0.597337
f0_1500		 1.183430		 3.018340		 1.062060		 0.243498	 -2.800980		 -0.094998
sigma		 2.738900		 2.384260		 0.479550		 0.216416	 -0.116525		 2.212330
f0_980		 2.525280		 3.091450		 0.691656		 0.246430	 -0.810857		 2.165650
Ks892		 44.284600		 44.020500		 0.857330		 0.929907	 0.527286		 -2.626850
Ks0_1430		 8.636950		 8.234230		 1.484490		 0.402183	 -0.895525		 2.280340
